results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,,labels
Venom: Let There Be Carnage,878,7505,30/09/2021,7.2,3347,110000000,66.759,,TRUE
Shang-Chi and the Legend of the Ten Rings,28,420,01/09/2021,7.9,3668,150000000,23.577,,TRUE
Red Notice,28,34081,04/11/2021,6.9,1461,200000000,49.662,,FALSE
No Time to Die,12,7576,29/09/2021,7.6,2182,242000000,20.533,,TRUE
Ciao Alberto,16,2,12/11/2021,7.7,200,45223,6.626,,FALSE
Amina,10752,162630,04/11/2021,7.4,28,250000,0.828,,FALSE
After We Fell,10749,6626,01/09/2021,7.3,1018,14000000,21.883,,TRUE
Eternals,28,420,03/11/2021,7.1,1242,200000000,16.306,,TRUE
Free Guy,35,27711,11/08/2021,7.8,3849,110000000,41.155,,TRUE
Spider-Man: No Way Home,28,420,15/12/2021,0,0,180000000,47.988,,FALSE
Last Night in Soho,27,10146,21/10/2021,7.5,552,43000000,29.506,,FALSE
Chernobyl 1986,18,5630,15/04/2021,6.3,203,9100000,3.72,,FALSE
Dune,878,923,15/09/2021,8,4318,165000000,15.517,,TRUE
The Amazing Spider-Man,28,7505,23/06/2012,6.6,13645,215000000,37.019,,TRUE
The Boss Baby: Family Business,16,521,01/07/2021,7.7,1620,82000000,9.798,,TRUE
Snake Eyes: G.I. Joe Origins,28,4,22/07/2021,6.8,846,88000000,4.913,,FALSE
Venom,878,31828,28/09/2018,6.8,12340,116000000,66.759,,TRUE
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,16,5887,16/10/2020,8.4,1880,15800000,9.527,,TRUE
Gunpowder Milkshake,28,694,14/07/2021,6.5,386,30000000,17.193,,FALSE
The Last Warrior: Root of Evil,14,42877,01/01/2021,7,66,8400000,3.906,,TRUE
Jungle Cruise,12,2,28/07/2021,7.7,3394,200000000,49.662,,TRUE
Luca,16,3,17/06/2021,8,5168,200000000,14.407,,FALSE
PAW Patrol: The Movie,16,71738,09/08/2021,7.6,706,26000000,3.837,,TRUE
F9,28,333,19/05/2021,7.4,4435,200000000,24.857,,TRUE
The Suicide Squad,28,9993,28/07/2021,7.8,4857,180000000,19.717,,FALSE
Space Jam: A New Legacy,16,25120,08/07/2021,7.3,2626,161900000,2.762,,FALSE
Spider-Man: Far From Home,28,420,28/06/2019,7.5,11055,160000000,47.988,,TRUE
Halloween Kills,27,33,14/10/2021,6.9,1271,20000000,11.169,,TRUE
Black Widow,28,420,07/07/2021,7.6,6086,200000000,35.388,,TRUE
The Amazing Spider-Man 2,28,7505,16/04/2014,6.4,9955,200000000,37.019,,TRUE
Cruella,35,2,26/05/2021,8.2,6027,200000000,17.303,,TRUE
Spider-Man 3,14,5,01/05/2007,6.3,10592,258000000,11.674,,TRUE
Spider-Man: Homecoming,28,420,05/07/2017,7.4,17204,175000000,47.988,,TRUE
Mortal Kombat,28,76907,07/04/2021,7.3,4074,20000000,4.319,,TRUE
The Croods: A New Age,16,33,25/11/2020,7.6,2660,65000000,21.264,,TRUE
Resident Evil: Welcome to Raccoon City,27,47,24/11/2021,6.2,49,40000000,22.475,,FALSE
Spider-Man,14,19551,01/05/2002,7.2,14447,139000000,11.674,,TRUE
Godzilla vs. Kong,28,174,24/03/2021,7.9,7261,200000000,7.7,,TRUE
Wrath of Man,28,14,22/04/2021,7.8,2689,40000000,36.825,,TRUE
Ghostbusters: Afterlife,35,5,11/11/2021,7.5,165,75000000,14.89,,TRUE
Avengers: Infinity War,12,420,25/04/2018,8.3,23167,300000000,20.481,,TRUE
Zone 414,878,76991,03/09/2021,5.6,98,5000000,15.001,,FALSE
The Tomorrow War,28,82819,02/07/2021,8.1,4646,200000000,15.423,,FALSE
Zack Snyder's Justice League,28,174,18/03/2021,8.4,6885,70000000,7.925,,TRUE
Avatar,28,444,10/12/2009,7.5,24389,237000000,7.894,,TRUE
The Stronghold,53,694,18/08/2021,7.7,501,14479740,4.427,,FALSE
Cosmic Sin,878,68628,12/03/2021,4.4,369,20000000,23.315,,FALSE
Old,53,33,21/07/2021,6.6,1738,18000000,6.166,,TRUE
House of Gucci,18,1645,24/11/2021,7.2,74,75000000,6.741,,FALSE
King Richard,18,27497,18/11/2021,8.4,104,50000000,20.242,,FALSE
Dynasty Warriors,28,156668,27/04/2021,6.7,73,38504400,10.199,,FALSE
Raya and the Last Dragon,10751,2,03/03/2021,8.1,4583,100000000,4.074,,TRUE
Don't Breathe 2,53,768,12/08/2021,7.6,1197,10000000,11.577,,TRUE
The Forever Purge,27,3172,30/06/2021,7.4,1440,18000000,8.733,,TRUE
How I Became a Superhero,878,120768,19/11/2020,6.1,303,18000000,1.876,,FALSE
After,10749,107107,11/04/2019,7.2,6752,14000000,21.883,,TRUE
Spider-Man: Into the Spider-Verse,28,34,06/12/2018,8.4,10227,90000000,2.734,,TRUE
Naruto Shippuden the Movie,16,3234,04/08/2007,7.3,389,29000000,8.202,,FALSE
Avengers: Endgame,12,420,24/04/2019,8.3,19594,356000000,20.481,,TRUE
Knowing,28,491,19/03/2009,6.1,4101,50000000,21.264,,TRUE
The Unholy,27,768,31/03/2021,6.9,1433,10000000,8.737,,TRUE
The Conjuring: The Devil Made Me Do It,27,12,25/05/2021,7.7,3920,39000000,7.652,,TRUE
Tom & Jerry,35,25120,11/02/2021,7.1,1850,50000000,38.089,,TRUE
The Avengers,878,420,25/04/2012,7.7,25762,220000000,20.481,,TRUE
Wonder Woman 1984,28,9993,16/12/2020,6.6,6170,200000000,26.855,,FALSE
Monster Hunter,28,7220,03/12/2020,6.9,2268,60000000,13.465,,FALSE
Harry Potter and the Philosopher's Stone,12,174,16/11/2001,7.9,21457,125000000,11.28,,TRUE
The Last: Naruto the Movie,28,2883,06/12/2014,7.9,1082,1000000,8.202,,TRUE
A Quiet Place Part II,878,4,21/05/2021,7.7,3367,61000000,22.36,,TRUE
Soul,16,2,25/12/2020,8.2,7250,150000000,9.973,,FALSE
The Marksman,28,80292,15/01/2021,7.1,977,23000000,19.304,,FALSE
Coco,10751,3,27/10/2017,8.2,14881,175000000,0.731,,TRUE
The SpongeBob Movie: Sponge on the Run,10751,8921,14/08/2020,7.7,2354,60000000,5.703,,FALSE
Spirit Untamed,16,33,20/05/2021,7.7,300,30000000,13.263,,FALSE
Harry Potter and the Prisoner of Azkaban,12,174,31/05/2004,8,17022,130000000,11.28,,TRUE
Harry Potter and the Deathly Hallows: Part 2,14,174,07/07/2011,8.1,16461,125000000,11.28,,TRUE
Peter Rabbit 2: The Runaway,10751,5,25/03/2021,7.4,447,45000000,3.479,,TRUE
My Hero Academia: Two Heroes,16,2849,03/08/2018,8,688,12000000,9.556,,TRUE
Sing,16,6704,23/11/2016,7.1,6322,75000000,11.322,,TRUE
