results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,labels
Venom: Let There Be Carnage,878,7505,30/09/2021,7.2,2893,110000000,68.407,TRUE
Shang-Chi and the Legend of the Ten Rings,28,420,01/09/2021,7.9,3514,150000000,25.375,TRUE
Red Notice,28,34081,04/11/2021,6.9,1336,200000000,55.535,FALSE
No Time to Die,12,7576,29/09/2021,7.6,2112,242000000,24.637,TRUE
Ciao Alberto,16,2,12/11/2021,7.7,184,45223,8.828,FALSE
Amina,10752,162630,04/11/2021,7.3,22,250000,0.98,FALSE
After We Fell,10749,6626,01/09/2021,7.3,990,14000000,16.025,TRUE
Eternals,28,420,03/11/2021,7.1,1195,200000000,22.279,TRUE
Dune,878,923,15/09/2021,8,4251,165000000,19.76,TRUE
Free Guy,35,27711,11/08/2021,7.8,3809,110000000,56.571,TRUE
Last Night in Soho,27,10146,21/10/2021,7.6,498,43000000,32.681,FALSE
The Amazing Spider-Man,28,7505,23/06/2012,6.6,13634,215000000,52.569,TRUE
Venom,878,31828,28/09/2018,6.8,12306,116000000,68.407,TRUE
Snake Eyes: G.I. Joe Origins,28,4,22/07/2021,6.8,839,88000000,2.985,FALSE
The Boss Baby: Family Business,16,521,01/07/2021,7.7,1614,82000000,7.919,TRUE
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,16,5887,16/10/2020,8.4,1874,15800000,7.215,TRUE
Chernobyl 1986,18,5630,15/04/2021,6.4,199,9100000,1.964,FALSE
Gunpowder Milkshake,28,694,14/07/2021,6.5,385,30000000,17.207,FALSE
Luca,16,3,17/06/2021,8,5144,200000000,8.816,FALSE
The Last Warrior: Root of Evil,14,42877,01/01/2021,7,66,8400000,1.881,TRUE
Spider-Man: Far From Home,28,420,28/06/2019,7.5,11034,160000000,45.338,TRUE
Jungle Cruise,12,2,28/07/2021,7.7,3363,200000000,55.535,TRUE
F9,28,333,19/05/2021,7.4,4422,200000000,21.079,TRUE
The Suicide Squad,28,9993,28/07/2021,7.8,4846,180000000,15.302,FALSE
The Amazing Spider-Man 2,28,7505,16/04/2014,6.4,9945,200000000,52.569,TRUE
PAW Patrol: The Movie,16,71738,09/08/2021,7.7,701,26000000,5.661,TRUE
Black Widow,28,420,07/07/2021,7.6,6057,200000000,34.211,TRUE
Halloween Kills,27,33,14/10/2021,6.9,1260,20000000,9.817,TRUE
Space Jam: A New Legacy,16,25120,08/07/2021,7.3,2616,161900000,2.587,FALSE
Spider-Man: Homecoming,28,420,05/07/2017,7.4,17187,175000000,45.338,TRUE
Spider-Man 3,14,5,01/05/2007,6.3,10579,258000000,11.329,TRUE
Ghostbusters: Afterlife,35,5,11/11/2021,7.6,132,75000000,11.331,FALSE
Cruella,35,2,26/05/2021,8.2,6003,200000000,15.796,TRUE
Zone 414,878,76991,03/09/2021,5.7,94,5000000,9.943,FALSE
Mortal Kombat,28,76907,07/04/2021,7.3,4063,20000000,2.213,TRUE
Spider-Man,14,19551,01/05/2002,7.2,14429,139000000,11.329,TRUE
The Croods: A New Age,16,33,25/11/2020,7.6,2650,65000000,12.579,TRUE
Wrath of Man,28,14,22/04/2021,7.8,2681,40000000,31.819,TRUE
Godzilla vs. Kong,28,174,24/03/2021,7.9,7249,200000000,8.354,TRUE
Zack Snyder's Justice League,28,174,18/03/2021,8.4,6873,70000000,9.363,TRUE
King Richard,18,27497,18/11/2021,8.3,74,50000000,18.744,FALSE
The Tomorrow War,28,82819,02/07/2021,8.1,4630,200000000,13.45,FALSE
Avengers: Infinity War,12,420,25/04/2018,8.3,23145,300000000,16.608,TRUE
Cosmic Sin,878,68628,12/03/2021,4.4,366,20000000,19.242,FALSE
The Stronghold,53,694,18/08/2021,7.7,499,14479740,3.216,FALSE
Old,53,33,21/07/2021,6.6,1717,18000000,6.582,TRUE
After,10749,107107,11/04/2019,7.2,6746,14000000,16.025,TRUE
Avatar,28,444,10/12/2009,7.5,24373,237000000,10.722,TRUE
Dynasty Warriors,28,156668,27/04/2021,6.7,72,38504400,9.575,FALSE
Raya and the Last Dragon,10751,2,03/03/2021,8.1,4570,100000000,1.486,TRUE
Spider-Man: Into the Spider-Verse,28,34,06/12/2018,8.4,10210,90000000,2.734,TRUE
Naruto Shippuden the Movie,16,3234,04/08/2007,7.3,387,29000000,4.525,FALSE
Don't Breathe 2,53,768,12/08/2021,7.6,1190,10000000,12.025,TRUE
